OBJECTID *,Shape *,FID_CRASH_PHILADELPHIA_2019_XYTableToPoint,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,CRN,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,SCH_BUS_IND,SCH_ZONE_IND,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,ROADWAY_CLEARED,WEATHER1,WEATHER2,WZ_WORKERS_INJ_KILLED,SECONDARY_CRASH,INTERSECTION_RELATED,FID_POLYLINE_30ftbuffer,BUFF_DIST,ORIG_FID
1,Point,1128,1945,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,2,2019,2019024306,6,39.9943,-75.1971,1930,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,17,4,1,3,0,39 59:39.460,<Null>,0,75 11:49.540,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,1,0,0,<Null>,1752,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
2,Point,1511,626,1,0,0,0,0,0,0,0,0,7,0,<Null>,67,2,2019,2019029435,3,39.9858,-75.2156,620,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,6,1,1,1,0,39 59:08.888,<Null>,0,75 12:56.190,3,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,<Null>,5,1,N,N,0,<Null>,1,0,0,3,2,<Null>,605,1,1,0,0,0,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
3,Point,1802,1302,0,0,0,0,0,0,0,0,0,7,0,<Null>,67,3,2019,2019032110,7,39.9964,-75.1953,1245,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,12,1,2,0,0,39 59:46.900,<Null>,0,75 11:43.000,8,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,4,1,N,N,1,<Null>,0,0,0,0,0,<Null>,1233,2,1,0,0,0,2,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
4,Point,1903,1639,2,0,0,0,0,0,0,0,0,5,0,<Null>,67,2,2019,2019032473,5,39.9592,-75.2139,1639,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,15,1,1,0,0,39 57:33.068,<Null>,0,75 12:49.982,8,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,<Null>,6,1,N,N,0,<Null>,0,0,1,0,0,<Null>,1552,1,3,0,0,0,1,0,3,0,3,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
5,Point,2316,1900,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,3,2019,2019036623,2,39.9866,-75.2084,1900,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,17,1,0,1,0,39 59:11.839,<Null>,2,75 12:30.236,9,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,1,0,0,<Null>,1735,0,2,0,0,0,0,1,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
6,Point,2597,2316,2,0,0,0,0,0,0,0,0,1,0,<Null>,67,4,2019,2019039015,6,40.0149,-75.2068,2313,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,23,3,0,0,0,40 00:53.696,<Null>,3,75 12:24.500,0,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,9,N,N,0,<Null>,0,0,0,3,2,<Null>,2301,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7,<Null>,<Null>,<Null>,<Null>,1,30,0
7,Point,2812,1621,2,0,0,0,0,0,0,0,0,4,0,<Null>,67,3,2019,2019042141,7,39.9867,-75.2083,1621,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,15,1,0,3,0,39 59:11.983,<Null>,2,75 12:29.919,0,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,0,3,3,<Null>,1551,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
8,Point,3062,836,1,0,0,0,0,0,0,0,0,2,0,<Null>,67,4,2019,2019044608,3,39.9744,-75.2125,728,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,7,1,2,0,0,39 58:27.817,<Null>,0,75 12:44.862,4,0,0,0,67301,0,0,0,N,0,0,0,6,67301,1,<Null>,1,9,N,N,0,<Null>,0,0,1,9,9,<Null>,725,2,2,0,0,0,1,4,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
9,Point,3142,2047,1,0,0,0,0,0,0,0,0,2,0,<Null>,67,5,2019,2019045930,7,39.9719,-75.2119,2042,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,20,3,2,0,0,39 58:18.980,<Null>,0,75 12:43.006,8,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,1,0,0,<Null>,2038,2,2,0,0,2,2,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
10,Point,3537,808,2,0,0,0,0,0,0,0,0,6,0,<Null>,67,5,2019,2019050107,5,39.9697,-75.2115,807,6,0,0,0,0,0,0,1,0,<Null>,0,0,0,8,1,0,1,0,39 58:10.789,<Null>,0,75 12:41.484,0,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,0,3,2,<Null>,805,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
11,Point,3674,2214,1,0,0,0,0,0,0,0,0,2,0,<Null>,67,4,2019,2019050871,6,39.9853,-75.2118,2203,6,0,0,1,0,0,0,0,0,3,0,0,0,22,3,4,0,2,39 59:07.100,3,0,75 12:42.500,3,0,0,0,67301,0,0,0,N,0,0,0,5,67301,1,<Null>,1,9,N,<Null>,0,<Null>,2,0,1,0,0,Y,2203,4,2,0,0,0,1,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
12,Point,3689,1939,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,5,2019,2019050886,4,39.9697,-75.2115,1939,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,19,1,1,1,0,39 58:10.789,<Null>,0,75 12:41.484,4,0,0,0,67301,0,0,0,N,0,0,0,2,67301,1,<Null>,1,1,N,N,0,<Null>,0,0,1,3,2,<Null>,1939,1,2,0,0,1,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
13,Point,3766,1814,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,3,2019,2019051858,4,39.9786,-75.2136,1814,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,18,1,1,1,0,39 58:42.950,<Null>,0,75 12:49.048,4,0,0,0,67301,0,0,0,N,0,0,0,2,67301,1,<Null>,1,1,N,<Null>,0,<Null>,0,0,1,3,2,<Null>,1814,1,2,0,0,1,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
14,Point,4026,1545,1,0,0,0,0,0,0,0,0,8,0,<Null>,67,5,2019,2019054638,4,39.9867,-75.208,1539,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,15,1,1,0,0,39 59:12.210,<Null>,99,75 12:28.848,8,0,0,0,67301,1,0,0,N,1,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,0,3,3,<Null>,1539,1,2,0,0,0,1,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
15,Point,4179,1745,0,0,0,0,0,0,0,0,0,2,0,<Null>,67,5,2019,2019055741,6,39.9697,-75.2115,1735,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,15,1,4,1,0,39 58:10.789,<Null>,0,75 12:41.484,3,0,0,0,67301,0,0,0,N,0,0,0,6,67301,0,<Null>,1,1,N,N,0,<Null>,4,0,1,3,2,<Null>,1503,4,2,0,0,1,0,1,3,1,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
16,Point,4180,2100,2,0,0,0,0,0,0,0,0,2,0,<Null>,67,5,2019,2019055744,6,39.9866,-75.2087,1830,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,18,1,0,1,0,39 59:11.745,<Null>,2,75 12:31.480,0,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,0,0,0,<Null>,1830,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
17,Point,4189,840,0,0,0,0,0,0,0,0,0,8,0,<Null>,67,5,2019,2019055807,5,40.0131,-75.202,834,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,8,1,1,2,0,40 00:47.031,<Null>,0,75 12:07.323,8,0,0,0,67301,1,0,0,N,1,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,1,3,2,<Null>,815,1,2,0,0,0,1,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
18,Point,4444,1753,1,0,0,1,0,0,0,0,0,4,0,<Null>,67,6,2019,2019058662,7,39.9586,-75.214,1745,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,15,1,1,1,0,39 57:31.189,<Null>,0,75 12:50.310,3,0,0,0,67301,1,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,0,3,2,<Null>,1550,1,2,0,0,0,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
19,Point,4521,1203,2,0,0,0,0,0,0,0,0,1,0,<Null>,67,6,2019,2019059656,2,39.9697,-75.2115,1156,6,0,0,0,0,1,1,0,0,<Null>,0,0,0,11,1,1,1,0,39 58:10.789,<Null>,0,75 12:41.484,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,9,N,N,0,<Null>,1,0,0,3,2,<Null>,1151,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
20,Point,4955,750,2,0,0,0,0,0,0,0,0,4,0,<Null>,67,6,2019,2019065576,7,39.9786,-75.2136,748,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,6,1,1,1,0,39 58:42.879,<Null>,0,75 12:49.429,4,0,0,0,67301,0,0,0,N,0,0,0,2,67301,1,<Null>,1,1,N,N,0,<Null>,0,0,0,3,2,<Null>,655,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
21,Point,5089,1316,2,0,0,0,0,0,0,0,0,4,0,<Null>,67,6,2019,2019067449,7,39.9697,-75.2115,1244,6,0,0,0,0,1,0,0,0,<Null>,0,0,0,12,1,0,1,0,39 58:10.789,<Null>,0,75 12:41.484,9,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,0,9,2,<Null>,1227,0,2,0,0,1,0,1,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
22,Point,5129,945,1,0,0,0,0,0,0,0,0,5,0,<Null>,67,7,2019,2019067835,2,40.0138,-75.2031,937,6,0,0,0,0,0,0,0,0,2,0,0,0,9,1,1,0,1,40 00:49.599,5,0,75 12:11.108,2,0,0,0,67301,1,0,1,N,1,0,1,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,1,0,0,0,Y,927,1,4,0,0,1,0,0,3,2,3,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
23,Point,5237,1729,1,0,0,0,0,0,0,0,0,2,0,<Null>,67,7,2019,2019069349,3,40.0146,-75.2055,1721,6,0,0,0,0,0,1,0,0,3,0,0,0,17,1,3,0,1,40 00:52.552,1,0,75 12:19.678,8,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,0,0,0,N,1718,3,2,0,0,0,3,0,3,1,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
24,Point,5410,1849,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,7,2019,2019070430,5,39.9626,-75.213,1843,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,18,4,0,1,0,39 57:45.297,<Null>,0,75 12:46.870,0,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,<Null>,1,9,N,N,0,<Null>,0,0,1,3,2,<Null>,1827,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7,<Null>,<Null>,<Null>,<Null>,1,30,0
25,Point,5476,57,1,0,0,0,0,0,0,0,0,7,0,<Null>,67,7,2019,2019071272,2,40.0062,-75.1934,55,6,0,0,0,1,0,0,0,0,3,0,0,0,0,3,5,0,2,40 00:22.356,1,0,75 11:36.240,3,0,0,0,67301,0,0,0,N,0,0,0,5,67301,0,<Null>,4,1,N,N,0,<Null>,4,0,1,0,0,N,50,5,2,0,0,0,1,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
26,Point,5757,1010,1,0,0,1,0,1,0,0,0,4,0,<Null>,67,6,2019,2019074713,3,39.9856,-75.2132,1001,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,9,1,1,1,0,39 59:08.260,<Null>,0,75 12:47.375,2,0,0,0,67301,1,0,1,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,0,1,0,3,3,<Null>,955,1,2,0,0,0,0,0,3,0,1,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
27,Point,5881,1316,2,0,0,0,0,0,0,0,0,4,0,<Null>,67,3,2019,2019075181,6,39.9803,-75.2141,1313,6,0,0,0,0,0,0,0,1,<Null>,1,0,0,10,1,2,1,0,39 58:49.077,<Null>,0,75 12:50.747,1,0,0,0,67301,0,0,0,N,0,0,0,6,67301,0,2,1,1,N,N,0,0,2,0,0,9,2,<Null>,1033,2,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
28,Point,6351,223,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,8,2019,2019082020,5,39.9866,-75.2088,202,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,1,3,0,3,0,39 59:11.800,<Null>,2,75 12:31.830,0,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,9,N,N,0,<Null>,0,0,1,3,3,<Null>,157,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7,<Null>,<Null>,<Null>,<Null>,1,30,0
29,Point,6503,1023,0,0,0,0,0,0,0,0,0,4,0,<Null>,67,8,2019,2019084446,7,39.9866,-75.2085,1015,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,10,1,1,0,0,39 59:11.880,<Null>,0,75 12:30.720,8,0,0,1,67301,0,0,0,N,0,0,0,5,67301,0,<Null>,1,1,N,N,0,<Null>,0,0,1,0,0,<Null>,1013,1,2,0,0,0,1,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
30,Point,6811,2158,2,0,0,0,0,0,0,0,0,4,0,<Null>,67,8,2019,2019088425,7,39.9732,-75.2122,2150,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,21,3,1,1,0,39 58:23.653,<Null>,0,75 12:44.012,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,0,3,2,<Null>,2147,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
31,Point,6842,850,1,0,0,0,0,0,1,0,0,1,1,<Null>,67,7,2019,2019088519,5,39.9732,-75.2122,830,6,0,0,0,0,0,0,0,0,9,0,0,0,8,1,5,1,1,39 58:23.653,4,0,75 12:44.012,4,0,0,0,67301,0,0,0,N,0,0,0,6,67301,5,<Null>,1,1,N,<Null>,0,<Null>,0,0,0,3,2,N,825,5,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
32,Point,7245,1735,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,9,2019,2019093063,1,39.9556,-75.2146,1730,6,0,0,0,0,0,2,0,0,<Null>,0,0,0,17,1,1,1,0,39 57:20.232,<Null>,0,75 12:52.728,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,1,3,2,<Null>,1716,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
33,Point,7279,55,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,9,2019,2019093496,7,39.9859,-75.2136,50,6,0,0,0,0,0,1,0,0,4,1,0,0,0,3,0,0,2,39 59:09.120,7,0,75 12:49.000,1,1,0,1,67301,0,0,0,N,0,0,0,2,67301,0,2,1,1,N,N,0,0,0,0,0,0,0,Y,48,0,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
34,Point,7446,1916,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,9,2019,2019095193,7,39.9867,-75.2083,1908,6,0,0,0,0,0,1,0,0,<Null>,0,0,0,17,4,1,2,0,39 59:11.940,<Null>,2,75 12:30.186,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,1,N,N,0,<Null>,1,0,1,0,0,<Null>,1750,1,2,0,0,0,0,0,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
35,Point,7461,1244,1,0,0,0,0,0,0,0,0,4,0,<Null>,67,9,2019,2019095482,3,39.9697,-75.2115,1244,6,0,0,0,0,0,0,0,0,9,0,0,0,0,3,2,1,0,39 58:10.789,<Null>,0,75 12:41.484,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,<Null>,1,1,N,N,0,<Null>,2,0,1,3,2,<Null>,34,2,2,0,0,0,0,1,3,0,2,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
36,Point,7678,1900,1,0,0,0,0,0,0,0,0,5,0,<Null>,67,9,2019,2019098050,1,40.013,-75.202,1900,6,0,0,0,0,0,0,0,0,<Null>,0,0,0,18,3,2,0,0,40 00:46.826,<Null>,0,75 12:07.125,3,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,<Null>,1,1,N,N,0,<Null>,2,0,2,3,2,<Null>,1852,2,3,0,0,4,0,0,3,0,3,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,<Null>,<Null>,1,30,0
